num,method,case,node1,node2,node3,node4,node5
1,Chb,case1,5389.0,5410.0,5364.0,5402.0,5403.0
1,Chb,case2,5923.0,6265.0,6265.0,6265.0,6265.0
1,Chb,case3,6742.0,6742.0,6265.0,6742.0,6742.0
1,Chb,case4,6742.0,6742.0,6522.0,5958.0,6742.0
1,Chb,case5,6522.0,6265.0,6742.0,6742.0,6742.0
