case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,jsag,5,10,3,17,5,2.082073435287106e+43,0.8284
1,jsag,5,10,3,18,10,3.7715749728311576e+46,0.8391
1,jsag,5,10,3,19,15,4.074525673952111e+49,0.8462
1,jsag,5,10,3,18,20,5.531555266886945e+46,0.8519
1,jsag,5,10,3,14,25,1.5106544544740275e+35,0.8514
1,jsag,5,10,3,15,30,1.1505356317944424e+38,0.8559
1,jsag,5,10,3,14,35,1.4578764130563433e+35,0.8591
1,jsag,5,10,3,13,40,1.8451824127164365e+32,0.8612
1,jsag,5,10,3,12,45,2.380247309901742e+29,0.8608
1,jsag,5,10,3,4,50,3659431.3427207908,0.8456
1,jsag,5,10,3,8,55,8.398379407031635e+17,0.8587
1,jsag,5,10,3,10,60,3.98291388472427e+23,0.8628
1,jsag,5,10,3,10,65,3.7586531556475844e+23,0.8649
1,jsag,5,10,3,6,70,1727184515327.2063,0.8579
1,jsag,5,10,3,6,75,1696985973242.542,0.8598
1,jsag,5,10,3,8,80,7.044728436640975e+17,0.8644
1,jsag,5,10,3,6,85,1623671039135.2354,0.8622
1,jsag,5,10,3,7,90,1001581246823848.2,0.8649
1,jsag,5,10,3,7,95,961938278288640.8,0.8669
1,jsag,5,10,3,6,100,1502647878493.3667,0.8636
1,jsag,5,10,3,6,105,1458780215272.0088,0.864
1,jsag,5,10,3,6,110,1414603443859.5469,0.866
1,jsag,5,10,3,6,115,1362624126059.1553,0.8676
1,jsag,5,10,3,4,120,4039858.52893921,0.862
1,jsag,5,10,3,5,125,2227513156.3800187,0.8646
1,jsag,5,10,3,5,130,2186189038.0803933,0.8653
1,jsag,5,10,3,4,135,3911373.6352510424,0.8646
1,jsag,5,10,3,5,140,2082989272.6667972,0.8677
1,jsag,5,10,3,4,145,3823267.135869201,0.8657
1,jsag,5,10,3,5,150,1977894147.6422093,0.869
1,jsag,5,10,3,5,155,1923992390.1644945,0.8695
1,jsag,5,10,3,3,160,7477.51624686246,0.8632
1,jsag,5,10,3,5,165,1822058817.716465,0.8707
1,jsag,5,10,3,5,170,1782078191.3484435,0.8709
1,jsag,5,10,3,4,175,3509216.39776259,0.868
1,jsag,5,10,3,4,180,3444624.4326602947,0.8689
1,jsag,5,10,3,5,185,1628123280.7662497,0.8727
1,jsag,5,10,3,4,190,3324961.7822684757,0.8695
1,jsag,5,10,3,4,195,3256730.508281485,0.8703
1,jsag,5,10,3,4,200,3199942.3415847993,0.8702
1,jsag,5,10,3,4,205,3152741.580469425,0.8709
1,jsag,5,10,3,5,210,1410500169.734112,0.8747
1,jsag,5,10,3,4,215,3041142.2135753315,0.8721
1,jsag,5,10,3,4,220,2978411.907134274,0.8723
1,jsag,5,10,3,4,225,2917660.436690631,0.8727
1,jsag,5,10,3,4,230,2860611.9028188,0.8733
1,jsag,5,10,3,4,235,2807498.0331993736,0.8727
1,jsag,5,10,3,3,240,6810.570111691693,0.8699
1,jsag,5,10,3,4,245,2698805.8180010286,0.8743
1,jsag,5,10,3,3,250,6717.334789590112,0.8707
1,jsag,5,10,3,4,255,2598084.1488101664,0.8744
1,jsag,5,10,3,4,260,2552204.1133136293,0.8749
1,jsag,5,10,3,4,265,2501574.8641243153,0.875
1,jsag,5,10,3,4,270,2459166.0574652674,0.8753
1,jsag,5,10,3,4,275,2411461.994021947,0.876
1,jsag,5,10,3,4,280,2361524.218234762,0.8765
1,jsag,5,10,3,4,285,2312935.2948266957,0.8767
1,jsag,5,10,3,4,290,2264960.459601887,0.8767
1,jsag,5,10,3,4,295,2222063.6706259046,0.877
1,jsag,5,10,3,3,300,6190.1394700981855,0.8735
1,jsag,5,10,3,4,305,2133624.926680006,0.8779
1,jsag,5,10,3,4,310,2093518.5300295209,0.8783
1,jsag,5,10,3,3,315,6015.8257814251165,0.8745
1,jsag,5,10,3,4,320,2012956.3281479932,0.8778
1,jsag,5,10,3,3,325,5924.4505237018075,0.8741
1,jsag,5,10,3,3,330,5863.2652654317535,0.8743
1,jsag,5,10,3,3,335,5814.714542711206,0.8744
1,jsag,5,10,3,3,340,5765.370456697783,0.8745
1,jsag,5,10,3,3,345,5715.455231774198,0.8746
1,jsag,5,10,3,3,350,5668.774912862,0.8749
1,jsag,5,10,3,3,355,5604.986764608837,0.8747
1,jsag,5,10,3,3,360,5554.6546606803495,0.8749
1,jsag,5,10,3,2,365,22.884326355925054,0.868
1,jsag,5,10,3,3,370,5450.122606124648,0.8763
1,jsag,5,10,3,3,375,5404.010384288504,0.8757
1,jsag,5,10,3,3,380,5355.669018374141,0.8768
1,jsag,5,10,3,3,385,5298.747499828359,0.8762
1,jsag,5,10,3,3,390,5261.042750406695,0.8766
1,jsag,5,10,3,3,395,5200.988441315172,0.876
1,jsag,5,10,3,3,400,5156.311910019735,0.8769
1,jsag,5,10,3,3,405,5103.8872945640105,0.8763
1,jsag,5,10,3,3,410,5052.296971610336,0.8771
1,jsag,5,10,3,3,415,5001.570648055986,0.8777
1,jsag,5,10,3,3,420,4947.286459765536,0.8779
1,jsag,5,10,3,3,425,4901.11733809463,0.8782
1,jsag,5,10,3,3,430,4853.75015602602,0.8777
1,jsag,5,10,3,3,435,4808.48954420937,0.8785
1,jsag,5,10,3,3,440,4767.722818539491,0.8777
1,jsag,5,10,3,3,445,4720.6408570492595,0.8783
1,jsag,5,10,3,3,450,4670.201308668162,0.8788
1,jsag,5,10,3,3,455,4622.254928135483,0.8784
1,jsag,5,10,3,3,460,4577.246357580153,0.879
1,jsag,5,10,3,3,465,4532.5367861523255,0.879
1,jsag,5,10,3,2,470,24.207220588376877,0.8693
1,jsag,5,10,3,3,475,4438.818495423466,0.8794
1,jsag,5,10,3,3,480,4396.248804613822,0.8803
1,jsag,5,10,3,3,485,4344.576960947384,0.8806
1,jsag,5,10,3,3,490,4301.919494925652,0.8809
1,jsag,5,10,3,3,495,4263.083876144256,0.8806
1,jsag,5,10,3,3,500,4219.400809073256,0.8805
1,jsag,5,10,3,3,505,4182.640991363916,0.8802
1,jsag,5,10,3,3,510,4135.736901243805,0.8807
1,jsag,5,10,3,3,515,4096.079508433703,0.8809
1,jsag,5,10,3,3,520,4060.4278206533036,0.8808
1,jsag,5,10,3,3,525,4009.0312775343814,0.8814
1,jsag,5,10,3,3,530,3970.1629838141707,0.882
1,jsag,5,10,3,3,535,3930.7198458442317,0.8815
1,jsag,5,10,3,3,540,3885.6300394996683,0.8816
1,jsag,5,10,3,3,545,3851.6443515019437,0.8816
1,jsag,5,10,3,3,550,3815.67153297988,0.8814
1,jsag,5,10,3,3,555,3786.4703756481767,0.8818
1,jsag,5,10,3,3,560,3742.124059084099,0.8819
1,jsag,5,10,3,3,565,3698.3107433395253,0.882
1,jsag,5,10,3,3,570,3661.2239200244917,0.8819
1,jsag,5,10,3,2,575,25.05020380373128,0.8717
1,jsag,5,10,3,2,580,25.112283070585455,0.872
1,jsag,5,10,3,2,585,25.22331234078485,0.8714
1,jsag,5,10,3,2,590,25.266425126631116,0.8714
1,jsag,5,10,3,2,595,25.347614314273457,0.8712
1,jsag,5,10,3,2,600,25.33616725485774,0.8714
1,jsag,5,10,3,3,605,3407.4432702231443,0.8821
1,jsag,5,10,3,2,610,25.50109821810549,0.8714
1,jsag,5,10,3,3,615,3334.6840403403066,0.8825
1,jsag,5,10,3,2,620,25.47326978051784,0.8716
1,jsag,5,10,3,3,625,3264.030639531353,0.8824
1,jsag,5,10,3,3,630,3233.7387845882095,0.8828
1,jsag,5,10,3,3,635,3200.4281459692406,0.8825
1,jsag,5,10,3,2,640,25.558463609450925,0.8721
1,jsag,5,10,3,2,645,25.57716917118752,0.8717
1,jsag,5,10,3,2,650,25.65758056432378,0.872
1,jsag,5,10,3,3,655,3071.6825871030464,0.8832
1,jsag,5,10,3,2,660,25.73929168373601,0.8719
1,jsag,5,10,3,2,665,25.723700707758045,0.872
1,jsag,5,10,3,2,670,25.824925210314106,0.8714
1,jsag,5,10,3,2,675,25.966264497816358,0.8718
1,jsag,5,10,3,3,680,2919.578263272744,0.8836
1,jsag,5,10,3,2,685,26.077009257258204,0.8712
1,jsag,5,10,3,2,690,26.069576139706832,0.8715
1,jsag,5,10,3,2,695,26.10736964201496,0.8718
1,jsag,5,10,3,2,700,26.215435796771708,0.8717
1,jsag,5,10,3,2,705,26.166752138377007,0.8717
1,jsag,5,10,3,3,710,2741.9015770358596,0.884
1,jsag,5,10,3,2,715,26.218744148427696,0.8715
1,jsag,5,10,3,3,720,2687.008880149508,0.8836
1,jsag,5,10,3,3,725,2661.9859880189315,0.8841
1,jsag,5,10,3,3,730,2635.513195815012,0.884
1,jsag,5,10,3,2,735,26.125749030408343,0.8731
1,jsag,5,10,3,2,740,26.18687969322361,0.8725
1,jsag,5,10,3,2,745,26.175418185624103,0.8726
1,jsag,5,10,3,2,750,26.21284381460144,0.8734
1,jsag,5,10,3,2,755,26.322339825527276,0.8717
1,jsag,5,10,3,2,760,26.475051953053136,0.874
1,jsag,5,10,3,2,765,26.31151703515785,0.8728
1,jsag,5,10,3,2,770,26.326020308153463,0.8724
1,jsag,5,10,3,2,775,26.446771803977217,0.8729
1,jsag,5,10,3,2,780,26.558362931533267,0.8725
1,jsag,5,10,3,2,785,26.532063247301753,0.8721
1,jsag,5,10,3,2,790,26.579254325030696,0.8725
1,jsag,5,10,3,2,795,26.549274578221087,0.8722
1,jsag,5,10,3,2,800,26.636395535264192,0.8717
1,jsag,5,10,3,2,805,26.808521923631073,0.8691
1,jsag,5,10,3,2,810,26.727784648147555,0.8728
1,jsag,5,10,3,2,815,26.77718605204638,0.8733
1,jsag,5,10,3,2,820,26.769826304469774,0.8732
1,jsag,5,10,3,2,825,26.882672395824027,0.873
1,jsag,5,10,3,2,830,26.919079123684682,0.8736
1,jsag,5,10,3,2,835,26.887841796539128,0.8738
1,jsag,5,10,3,2,840,26.879472949446225,0.8737
1,jsag,5,10,3,2,845,26.912483897227716,0.873
1,jsag,5,10,3,2,850,26.90039276271807,0.8735
1,jsag,5,10,3,2,855,26.90928145829286,0.8735
1,jsag,5,10,3,2,860,26.966528925961537,0.8727
1,jsag,5,10,3,2,865,27.08482094649502,0.8739
1,jsag,5,10,3,2,870,27.085915059046442,0.8719
1,jsag,5,10,3,2,875,27.114620550342558,0.8714
1,jsag,5,10,3,2,880,27.175489087970544,0.8714
1,jsag,5,10,3,2,885,27.228745255602533,0.874
1,jsag,5,10,3,2,890,27.20127540187095,0.8738
1,jsag,5,10,3,2,895,27.185956061290746,0.872
1,jsag,5,10,3,2,900,27.212740074263014,0.8745
1,jsag,5,10,3,2,905,27.121190483813564,0.8751
1,jsag,5,10,3,2,910,27.12780132416967,0.873
1,jsag,5,10,3,2,915,27.200610837454484,0.8742
1,jsag,5,10,3,2,920,27.146582643346314,0.873
1,jsag,5,10,3,2,925,27.131151051774772,0.8742
1,jsag,5,10,3,2,930,27.27798147005242,0.8737
1,jsag,5,10,3,2,935,27.311831351078183,0.8706
1,jsag,5,10,3,2,940,27.228146911961318,0.8738
1,jsag,5,10,3,2,945,27.26744914163592,0.874
