case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,avg,5,10,3,43,5,1.6624882904373312e+21,0.8326833333333333
1,avg,5,10,3,35,10,4.256921397960839e+16,0.8378833333333333
1,avg,5,10,3,30,15,54188600606719.31,0.84075
1,avg,5,10,3,26,20,258778066157.78812,0.8394666666666667
1,avg,5,10,3,23,25,4756764244.564917,0.8389333333333333
1,avg,5,10,3,22,30,1255797747.90315,0.8397166666666667
1,avg,5,10,3,21,35,328491771.2849167,0.8400833333333333
1,avg,5,10,3,19,40,23191375.878087834,0.8386666666666667
1,avg,5,10,3,18,45,6110432.480888924,0.8383333333333334
1,avg,5,10,3,17,50,1609022.228052205,0.8375833333333333
1,avg,5,10,3,16,55,429880.0392606142,0.8375833333333333
1,avg,5,10,3,15,60,116351.7463945456,0.8367666666666667
1,avg,5,10,3,14,65,31858.80494626324,0.8356166666666667
1,avg,5,10,3,13,70,8816.922010968206,0.8344166666666667
1,avg,5,10,3,12,75,2475.2164240019656,0.8322666666666667
1,avg,5,10,3,12,80,2431.3474698405853,0.8318833333333333
1,avg,5,10,3,11,85,695.7627482630278,0.8291666666666667
1,avg,5,10,3,11,90,683.1383680709607,0.8289333333333333
1,avg,5,10,3,10,95,200.34954254893208,0.8259333333333333
1,avg,5,10,3,10,100,197.44217880253916,0.8261666666666667
1,avg,5,10,3,10,105,193.34235332937817,0.8259833333333333
1,avg,5,10,3,9,110,59.2008253908743,0.8228166666666666
1,avg,5,10,3,9,115,58.66437065216286,0.8221666666666667
1,avg,5,10,3,9,120,57.78317912994446,0.8220666666666666
1,avg,5,10,3,9,125,56.823447026811365,0.8218666666666666
1,avg,5,10,3,8,130,18.37930494051639,0.8177
1,avg,5,10,3,8,135,18.22345047660233,0.8175
1,avg,5,10,3,8,140,17.950046178521156,0.8173833333333334
1,avg,5,10,3,8,145,17.732710830305294,0.8168666666666666
1,avg,5,10,3,8,150,17.537412537504665,0.8165
1,avg,5,10,3,7,155,6.143655889917632,0.8114166666666667
1,avg,5,10,3,7,160,6.138792228102496,0.8109
1,avg,5,10,3,7,165,6.0691672894191235,0.8105
1,avg,5,10,3,7,170,6.056476559283931,0.8099666666666666
1,avg,5,10,3,7,175,6.039417901970795,0.8092333333333334
1,avg,5,10,3,7,180,5.981085257221565,0.8087166666666666
1,avg,5,10,3,7,185,5.895704644929698,0.80835
1,avg,5,10,3,6,190,2.3500484960493306,0.8015333333333333
1,avg,5,10,3,6,195,2.3623888972865767,0.8010166666666667
1,avg,5,10,3,6,200,2.3390876283648163,0.8011666666666667
1,avg,5,10,3,6,205,2.334465488756308,0.8005166666666667
1,avg,5,10,3,6,210,2.3296205504949037,0.8001666666666667
1,avg,5,10,3,6,215,2.332952154690487,0.7995
1,avg,5,10,3,6,220,2.3178541335082876,0.7995666666666666
1,avg,5,10,3,6,225,2.313962244580718,0.7991
1,avg,5,10,3,6,230,2.319051160921682,0.7977666666666666
1,avg,5,10,3,6,235,2.3098191758590128,0.7974
1,avg,5,10,3,6,240,2.311620541300571,0.7965333333333333
1,avg,5,10,3,6,245,2.2935605673924626,0.7967166666666666
1,avg,5,10,3,5,250,1.0999494862755186,0.7890166666666667
1,avg,5,10,3,5,255,1.1035985467805625,0.78865
1,avg,5,10,3,5,260,1.114347191034899,0.7873666666666667
1,avg,5,10,3,5,265,1.1094728935288354,0.7877666666666666
1,avg,5,10,3,5,270,1.1111791476915016,0.7872833333333333
1,avg,5,10,3,5,275,1.1159492354380571,0.78645
1,avg,5,10,3,5,280,1.1088056649933906,0.78665
1,avg,5,10,3,5,285,1.1138031801838078,0.7858333333333334
1,avg,5,10,3,5,290,1.1149448722354913,0.7853166666666667
1,avg,5,10,3,5,295,1.1167981368346775,0.7846666666666666
1,avg,5,10,3,5,300,1.1011776721294444,0.7857666666666666
1,avg,5,10,3,5,305,1.1078488955548842,0.78465
1,avg,5,10,3,5,310,1.1051843897456697,0.7850333333333334
1,avg,5,10,3,5,315,1.1044152868674066,0.7847833333333334
1,avg,5,10,3,5,320,1.1049291180536254,0.7847333333333333
1,avg,5,10,3,5,325,1.110412488425215,0.78415
1,avg,5,10,3,5,330,1.1028728334800588,0.7831333333333333
1,avg,5,10,3,4,335,0.6475775407092265,0.7762333333333333
1,avg,5,10,3,4,340,0.6519023664641126,0.77575
1,avg,5,10,3,4,345,0.6557679069431483,0.7756833333333333
1,avg,5,10,3,4,350,0.6561191586790891,0.7751
1,avg,5,10,3,4,355,0.6547411804337461,0.7753166666666667
1,avg,5,10,3,4,360,0.6615109612291765,0.7741333333333333
1,avg,5,10,3,4,365,0.6597361401878736,0.77385
1,avg,5,10,3,4,370,0.6548656878118768,0.7742666666666667
1,avg,5,10,3,4,375,0.6609576804242805,0.77375
1,avg,5,10,3,4,380,0.6607363882812771,0.7737333333333334
1,avg,5,10,3,4,385,0.6587793104703377,0.774
1,avg,5,10,3,4,390,0.6663526430055592,0.7727
1,avg,5,10,3,4,395,0.662680801937026,0.7733333333333333
1,avg,5,10,3,4,400,0.6633771860357004,0.77305
1,avg,5,10,3,4,405,0.6624673080202843,0.7734
1,avg,5,10,3,4,410,0.66208603003739,0.7733333333333333
1,avg,5,10,3,4,415,0.6663803562886297,0.7731
1,avg,5,10,3,4,420,0.6659308463370093,0.7728333333333334
1,avg,5,10,3,4,425,0.6693417472754952,0.77225
1,avg,5,10,3,3,430,0.4471456416763759,0.76355
1,avg,5,10,3,3,435,0.44952975112738924,0.7625666666666666
1,avg,5,10,3,3,440,0.44415917113168535,0.7653
1,avg,5,10,3,4,445,0.6725677541040171,0.7708833333333334
1,avg,5,10,3,3,450,0.4481037695862359,0.7641833333333333
1,avg,5,10,3,4,455,0.6786822605073854,0.7700166666666667
1,avg,5,10,3,3,460,0.4512853035480992,0.7636166666666667
1,avg,5,10,3,3,465,0.45205596064082,0.7637333333333334
1,avg,5,10,3,3,470,0.45134442418882964,0.76395
1,avg,5,10,3,3,475,0.45295816880302847,0.7637833333333334
1,avg,5,10,3,3,480,0.4539872770820091,0.7634166666666666
1,avg,5,10,3,3,485,0.4549789326975835,0.7630166666666667
1,avg,5,10,3,3,490,0.4555638751604272,0.7625666666666666
