case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,avg,5,10,3,42,5,6.344708917889196e+20,0.832
1,avg,5,10,3,35,10,7.090425191797818e+16,0.8435
1,avg,5,10,3,29,15,23667723353190.117,0.8476
1,avg,5,10,3,28,20,6235707856568.472,0.8514
1,avg,5,10,3,25,25,107768126673.05185,0.8537
1,avg,5,10,3,23,30,7049006165.829229,0.8548
1,avg,5,10,3,21,35,465838601.6448952,0.8556
1,avg,5,10,3,20,40,117380021.02107954,0.8558
1,avg,5,10,3,18,45,8006397.634532978,0.8562
1,avg,5,10,3,17,50,2047977.1268103635,0.8566
1,avg,5,10,3,16,55,526143.3041222708,0.8575
1,avg,5,10,3,15,60,137406.01429811382,0.8578
1,avg,5,10,3,14,65,36444.22767760373,0.8571
1,avg,5,10,3,14,70,34568.15490040037,0.858
1,avg,5,10,3,13,75,9338.994354601848,0.8577
1,avg,5,10,3,12,80,2562.4211488755773,0.8578
1,avg,5,10,3,12,85,2457.6206777739235,0.8585
1,avg,5,10,3,11,90,688.7583512740716,0.8579
1,avg,5,10,3,11,95,663.1052603268317,0.8578
1,avg,5,10,3,11,100,637.4592164632246,0.8593
1,avg,5,10,3,10,105,183.13663162455435,0.8585
1,avg,5,10,3,9,110,54.021661570364,0.8582
1,avg,5,10,3,9,115,52.759066117024865,0.8579
1,avg,5,10,3,8,120,16.183054321452573,0.857
1,avg,5,10,3,8,125,15.8683848518195,0.8574
1,avg,5,10,3,8,130,15.505053677214626,0.8571
1,avg,5,10,3,8,135,15.205092081696304,0.8578
1,avg,5,10,3,7,140,5.00149777847893,0.8563
1,avg,5,10,3,7,145,4.940767265406731,0.8565
1,avg,5,10,3,7,150,4.880491643094149,0.8567
1,avg,5,10,3,7,155,4.7917185685647885,0.8574
1,avg,5,10,3,7,160,4.722302827718837,0.8576
1,avg,5,10,3,7,165,4.677384569784566,0.8576
1,avg,5,10,3,7,170,4.609758873162164,0.8578
1,avg,5,10,3,6,175,1.7160778194277668,0.8554
1,avg,5,10,3,6,180,1.7009634999963512,0.8561
1,avg,5,10,3,6,185,1.6844949480806948,0.8563
1,avg,5,10,3,6,190,1.6685368408079113,0.8561
1,avg,5,10,3,6,195,1.6642370785111993,0.8556
1,avg,5,10,3,6,200,1.6497293482986812,0.8556
1,avg,5,10,3,6,205,1.6421782289392772,0.8561
1,avg,5,10,3,6,210,1.6152350627114682,0.8564
1,avg,5,10,3,6,215,1.6044699414661556,0.8561
1,avg,5,10,3,5,220,0.7180744442406264,0.8542
1,avg,5,10,3,5,225,0.7174690614902889,0.8537
1,avg,5,10,3,5,230,0.7136502690451614,0.8543
1,avg,5,10,3,5,235,0.7094611891897055,0.8544
1,avg,5,10,3,5,240,0.7083725475495387,0.8544
1,avg,5,10,3,5,245,0.706652652964076,0.8541
1,avg,5,10,3,5,250,0.7054700541339929,0.8537
1,avg,5,10,3,5,255,0.6994422970468601,0.8547
1,avg,5,10,3,5,260,0.6972813690419467,0.8539
1,avg,5,10,3,5,265,0.6987299828994906,0.8542
